UTC,Latitude,Lat Dir,Longitude,Lon Dir,Fix,Satellite
080805.00,0658.38252478,S,10737.82216260,E,4,28
080808.00,0658.38332559,S,10737.82272239,E,4,28
080811.00,0658.38382571,S,10737.82359044,E,4,26
080814.00,0658.38394891,S,10737.82446303,E,4,29
080817.00,0658.38394700,S,10737.82408037,E,4,30
080820.00,0658.38376299,S,10737.82410585,E,4,34
080823.00,0658.38371153,S,10737.82468334,E,4,35
080827.00,0658.38367622,S,10737.82554590,E,4,32
080830.00,0658.38373926,S,10737.82621770,E,4,31
080834.00,0658.38343158,S,10737.82675258,E,4,31
080837.00,0658.38255878,S,10737.82703337,E,4,31
080840.00,0658.38155167,S,10737.82711980,E,4,27
080843.00,0658.38069815,S,10737.82713313,E,4,26
080846.00,0658.37967961,S,10737.82696724,E,4,25
080850.00,0658.37882011,S,10737.82678557,E,4,27
080856.00,0658.37908552,S,10737.82707955,E,4,26
080900.00,0658.37974392,S,10737.82689303,E,4,24
080904.00,0658.38096683,S,10737.82682606,E,4,28
080907.00,0658.38206074,S,10737.82694992,E,4,26
080911.00,0658.38342841,S,10737.82715211,E,4,29
080915.00,0658.38397207,S,10737.82657079,E,4,29
080918.00,0658.38365513,S,10737.82569488,E,4,31
080921.00,0658.38348985,S,10737.82466799,E,4,31
080924.00,0658.38357933,S,10737.82386762,E,4,31
080928.00,0658.38296794,S605,M,22.4639,M,1.0
080931.00,0658.38221378,S,10737.82228596,E,4,28
080935.00,0658.38093111,S,10737.82184951,E,4,28
080940.00,0658.38039946,S,10737.82167753,E,4,34
080943.00,0658.38024215,S,10737.82160631,E,4,36
080946.00,0658.37991004,S,10737.82160972,E,4,35
080949.00,0658.37909040,S,10737.82183482,E,4,31
080953.00,0658.37886574,S,10737.82219443,E,4,30
080956.00,0658.37905868,S,10737.82209378,E,4,31
081000.00,0658.38027447,S,10737.82184763,E,4,34
081009.00,0658.38318574,S,10737.82302854,E,4,29
081013.00,0658.38348850,S,10737.82421121,E,4,31
081016.00,0658.38354430,S,10737.82492349,E,4,31
081020.00,0658.38367103,S,10737.82610318,E,4,28
081024.00,0658.38360194,S,10737.82673705,E,4,31
081027.00,0658.38318004,S,10737.82697995,E,4,32
081031.00,0658.38213666,S,10737.82712232,E,4,28
081034.00,0658.38124338,S740,M,22.4640,M,1.0
081038.00,0658.37996793,S,10737.82708816,E,4,25
081043.00,0658.37886517,S,10737.82665054,E,4,30
081047.00,0658.37866196,S,10737.82681812,E,5,26
081051.00,0658.37897999,S,10737.82683602,E,5,28
081055.00,0658.37980701,S,10737.82675354,E,5,31
081059.00,0658.38111344,S,10737.82709265,E,5,26
081102.00,0658.38187423,S,10737.82732370,E,5,26
081110.00,0658.38380739,S,10737.82684485,E,2,28
081116.00,0658.38363568,S,10737.82488674,E,2,28
081119.00,0658.38347377,S,10737.82379709,E,2,28
081122.00,0658.38304843,S,10737.82307872,E,2,28
081126.00,0658.38209133,S,10737.82214727,E,2,28
081129.00,0658.38103945,S,10737.82185018,E,2,28
081133.00,0658.37957420,S,10737.82178564,E,2,28
